x1,x1_t,x2,x2_t
0.629061176,87,0.359770546,87
0.689200806,88,0.229632976,88
0.744927432,89,0.779365755,89
0.795884232,90,0.482480848,90
0.841744926,91,0.505073341,91
0.882215864,92,0.508268788,92
0.917037909,93,0.955281711,93
0.945988092,94,1.243517074,94
0.968881042,95,0.476487989,95
0.985570175,96,0.479550629,96
0.995948629,97,0.582283654,97
0.99994995,98,1.039770448,98
0.997548516,99,0.573024323,99
0.988759706,100,0.765440117,100
0.973639793,101,1.386558735,101
0.952285592,102,0.549554705,102
0.924833835,103,1.123285295,103
0.891460299,104,0.708057469,104
0.852378676,105,0.877159673,105
0.807839209,106,1.107494028,106
0.758127087,107,1.320357821,107
0.703560621,108,0.946500908,108
0.644489204,109,0.972337741,109
0.581291075,110,0.419447467,110
0.514370895,111,1.056541665,111
0.444157161,112,1.078290717,112
0.371099455,113,1.075284057,113
0.295665571,114,0.69582446,114
0.218338519,115,0.215677161,115
0.13961343,116,0.041888031,116
0.059994385,117,0.294609381,117
-0.020008809,118,0.742724468,118
-0.099883885,119,0.475106324,119
-0.179119396,120,0.525126775,120
-0.257207993,121,-0.0073097,121
-0.333649668,122,-0.047010469,122
-0.407954959,123,-0.138247764,123
-0.479648085,124,0.067070266,124
-0.548269987,125,-0.47454836,125
-0.613381277,126,-0.400062149,126
-0.67456504,127,-0.634499905,127
-0.731429513,128,-1.002101606,128
-0.783610589,129,-0.462566855,129
-0.830774147,130,-1.140311367,130
-0.872618197,131,-0.44418528,131
-0.908874808,132,-0.821544315,132
-0.939311825,133,-1.26916508,133
-0.963734359,134,-0.576125358,134
-0.98198603,135,-0.400103996,135
-0.993949972,136,-0.910564407,136
-0.999549577,137,-1.001381022,137
-0.998748993,138,-0.873084562,138
-0.991553344,139,-1.370648629,139
-0.978008705,140,-1.11018084,140
-0.958201804,141,-1.41697215,141
-0.932259465,142,-1.472476188,142
-0.9003478,143,-0.842121061,143
-0.86267114,144,-1.390397265,144
-0.819470733,145,-0.554525013,145
-0.771023194,146,-0.585414087,146
-0.717638736,147,-0.710468786,147
-0.659659183,148,-1.241050527,148
-0.597455784,149,-1.058072098,149
-0.531426831,150,-0.52377427,150
-0.461995112,151,-0.659784811,151
-0.389605205,152,-1.069831566,152
-0.314720626,153,-0.158954457,153
-0.237820867,154,-0.819339302,154
-0.159398324,155,-0.132304915,155
-0.079955141,156,-0.56685684,156
0,157,-0.83385373,157
0.079955141,158,-0.323476923,158
0.159398324,159,-0.238098821,159
0.237820867,160,-0.343763378,160
0.314720626,161,-0.120183692,161
0.389605205,162,-0.075624849,162
0.461995112,163,0.05381975,163
0.531426831,164,-0.12334123,164
0.597455784,165,0.776529268,165
0.659659183,166,0.132742335,166
0.717638736,167,0.071179787,167
0.771023194,168,0.410772723,168
0.819470733,169,0.398843591,169
0.86267114,170,0.773827755,170
0.9003478,171,0.909954706,171
0.932259465,172,0.456541966,172
0.958201804,173,1.076478384,173
0.978008705,174,0.761820979,174
0.991553344,175,0.610720166,175
0.998748993,176,1.176489907,176
0.999549577,177,0.631167539,177
0.993949972,178,1.111600184,178
0.98198603,179,0.648722942,179
0.963734359,180,0.994093533,180
0.939311825,181,0.905041426,181
0.908874808,182,1.375217062,182
0.872618197,183,0.556884579,183
0.830774147,184,0.967077284,184
0.783610589,185,0.515626251,185
0.731429513,186,0.825887904,186
0.67456504,187,1.058601516,187
0.613381277,188,1.331116953,188
0.548269987,189,0.913942037,189
0.479648085,190,0.999285626,190
0.407954959,191,0.880768682,191
0.333649668,192,0.516152109,192
0.257207993,193,0.519142785,193
0.179119396,194,1.003462007,194
0.099883885,195,0.016627133,195
0.020008809,196,0.745518485,196
-0.059994385,197,0.59882788,197
-0.13961343,198,-0.136713429,198
-0.218338519,199,-0.324365493,199
-0.295665571,200,0.407649557,200
-0.371099455,201,-0.385293324,201
-0.444157161,202,-0.182632705,202
-0.514370895,203,-0.507652403,203
-0.581291075,204,0.072996046,204
-0.644489204,205,0.067374467,205
-0.703560621,206,-0.90161913,206
-0.758127087,207,-0.663374924,207
-0.807839209,208,-0.530801686,208
-0.852378676,209,-1.115736771,209
-0.891460299,210,-0.446436075,210
-0.924833835,211,-0.440435024,211
-0.952285592,212,-0.810863381,212
-0.973639793,213,-1.259566089,213
-0.988759706,214,-0.565103725,214
-0.997548516,215,-0.624413581,215
-0.99994995,216,-1.436456243,216
-0.995948629,217,-0.828873268,217
-0.985570175,218,-1.173519387,218
-0.968881042,219,-0.573144756,219
-0.945988092,220,-1.48096198,220
-0.917037909,221,-1.283432316,221
-0.882215864,222,-0.853015547,222
-0.841744926,223,-0.963156005,223
-0.795884232,224,-1.240907743,224
-0.744927432,225,-0.812777951,225
-0.689200806,226,-1.261595506,226
-0.629061176,227,-0.535411921,227
-0.564893621,228,-0.739552258,228
-0.497109009,229,-0.974934204,229
-0.426141372,230,-0.883346572,230
-0.35244512,231,-0.265505999,231
-0.276492135,232,-0.113516321,232
-0.198768751,233,-0.185844235,233
-0.119772635,234,-0.685358351,234
-0.040009607,235,-0.331500785,235
0.040009607,236,-0.421803274,236
0.119772635,237,-0.157009615,237
0.198768751,238,-0.564925407,238
0.276492135,239,0.126309675,239
0.35244512,240,0.454858692,240
0.426141372,241,0.125197424,241
0.497109009,242,0.558565498,242
0.564893621,243,0.154832756,243
0.629061176,244,0.278559571,244
0.689200806,245,0.304911786,245
0.744927432,246,0.203569965,246
0.795884232,247,1.00023076,247
0.841744926,248,0.449859408,248
0.882215864,249,1.128175012,249
0.917037909,250,0.555290501,250
0.945988092,251,0.813887196,251
0.968881042,252,1.305309121,252
0.985570175,253,1.246636133,253
0.995948629,254,0.947612535,254
0.99994995,255,0.9010466,255
0.997548516,256,0.893878742,256
0.988759706,257,0.661907781,257
0.973639793,258,1.131686351,258
0.952285592,259,0.956739663,259
0.924833835,260,1.161088516,260
0.891460299,261,0.544711775,261
0.852378676,262,1.151937108,262
0.807839209,263,0.740336854,263
0.758127087,264,0.487847596,264
0.703560621,265,0.729836207,265
0.644489204,266,1.082058568,266
0.581291075,267,0.650676578,267
0.514370895,268,0.782525574,268
0.444157161,269,0.80726979,269
0.371099455,270,0.104160357,270
0.295665571,271,0.924966639,271
0.218338519,272,0.635254973,272
0.13961343,273,0.577760637,273
0.059994385,274,-0.002225006,274
-0.020008809,275,0.318981103,275
-0.099883885,276,0.384744483,276
-0.179119396,277,-0.015980642,277
-0.257207993,278,0.127904246,278
-0.333649668,279,-0.586850703,279
-0.407954959,280,-0.280989534,280
-0.479648085,281,0.08314346,281
-0.548269987,282,-0.047512994,282
-0.613381277,283,-0.720854337,283
-0.67456504,284,-0.032704402,284
-0.731429513,285,-0.164245492,285
-0.783610589,286,-0.357280795,286
-0.830774147,287,-0.23537293,287
-0.872618197,288,-1.01528792,288
-0.908874808,289,-0.301996143,289
-0.939311825,290,-0.749851394,290
-0.963734359,291,-0.86664016,291
-0.98198603,292,-1.071352379,292
-0.993949972,293,-0.530170211,293
-0.999549577,294,-1.074447267,294
-0.998748993,295,-1.452722293,295
-0.991553344,296,-1.365084892,296
-0.978008705,297,-0.957212219,297
-0.958201804,298,-1.217390401,298
-0.932259465,299,-0.944171711,299
-0.9003478,300,-1.24452315,300
-0.86267114,301,-1.196111048,301
-0.819470733,302,-1.41874958,302
-0.771023194,303,-0.968907345,303
-0.717638736,304,-0.806697741,304
-0.659659183,305,-0.939963031,305
-0.597455784,306,-0.912528157,306
-0.531426831,307,-0.483537393,307
-0.461995112,308,-0.353326559,308
-0.389605205,309,-0.741072815,309
